Unit,Bulls,Cows,Calves,Harvest,Hunters,PercSuccess,RecDays
1,0,2,0,2,8,25,36
2,0,9,2,11,28,39,83
201,0,18,1,19,31,61,83
3,100,37,0,137,298,46,893
301,24,0,0,24,101,24,408
4,200,158,8,366,893,41,2685
441,96,23,0,119,261,46,762
5,102,42,8,152,411,37,1494
6,50,112,4,116,748,22,2380
7,21,0,0,21,167,13,600
8,25,0,0,25,122,20,358
9,3,0,0,3,11,27,41
10,0,35,7,42,53,79,131
11,285,170,9,464,1295,36,4744
211,53,33,0,86,265,32,943
12,357,134,18,509,1518,34,5383
13,86,30,0,116,355,33,1256
131,15,26,0,41,131,31,404
231,36,18,0,54,409,13,1568
14,45,15,5,65,201,32,781
214,19,19,0,38,145,26,438
15,43,34,3,80,451,18,1738
16,22,24,10,56,254,22,886
161,5,25,4,34,272,13,878
17,18,68,0,86,322,27,1103
171,4,14,0,18,299,6,941
18,54,105,0,159,1037,15,3629
181,24,4,0,28,193,15,560
19,18,0,0,18,97,19,398
191,9,0,0,9,35,26,132
20,13,0,0,13,19,68,67
21,78,20,4,102,375,27,1300
22,51,6,0,57,239,24,885
23,171,60,9,240,913,26,3409
24,90,107,0,197,963,20,3464
25,46,18,0,64,218,29,771
26,33,9,6,48,218,22,711
27,15,24,5,44,180,24,613
28,47,36,11,94,651,14,2434
29,2,0,0,2,18,11,60
30,0,0,0,0,60,0,154
31,70,0,6,76,160,48,542
32,39,3,3,45,88,51,277
33,37,18,0,55,545,10,2057
34,18,18,0,36,191,19,625
35,25,10,5,40,214,19,793
36,19,8,0,27,148,18,525
361,2,6,0,8,36,22,96
37,3,26,6,35,205,17,679
371,27,17,8,52,244,21,897
38,10,3,0,13,63,21,205
39,16,6,2,24,72,33,260
391,1,0,0,1,12,8,48
40,24,12,3,39,63,62,205
41,55,36,0,91,518,18,2020
411,31,0,0,31,104,30,416
42,30,26,15,71,414,17,1565
421,80,36,0,116,493,24,1818
43,51,11,0,62,230,27,781
44,16,12,0,28,166,17,573
444,8,5,0,13,75,17,242
45,10,16,0,26,90,29,306
46,6,0,0,6,35,17,130
461,0,0,0,0,11,0,37
47,3,3,1,7,60,12,165
471,3,3,0,6,27,22,68
48,18,0,0,18,64,28,220
481,29,0,0,29,63,46,198
49,42,0,0,42,75,56,250
50,6,0,0,6,42,14,146
500,33,0,0,33,97,34,385
501,9,0,0,9,34,26,116
51,11,3,0,14,52,27,161
511,17,3,0,20,109,18,368
52,0,11,9,20,140,14,466
521,103,56,18,177,558,32,2083
53,51,43,8,102,395,26,1555
54,42,9,0,51,423,12,1776
55,41,55,8,104,565,18,2257
551,17,18,0,35,173,20,674
56,6,0,0,6,43,14,170
561,5,0,0,5,27,19,114
57,18,7,0,25,71,35,244
58,16,8,4,28,86,33,308
581,14,10,0,24,105,23,363
59,5,9,0,14,93,15,289
60,15,4,0,19,48,40,181
61,95,34,3,132,178,74,589
62,101,33,3,137,412,33,1601
63,16,29,3,48,151,32,561
64,53,16,3,72,212,34,737
65,70,36,18,124,471,26,1711
66,77,18,3,98,388,25,1560
67,44,24,0,68,366,19,1519
68,42,0,0,42,266,16,1075
681,12,0,0,12,99,12,374
69,12,0,0,12,26,46,62
70,154,60,9,223,518,43,1977
71,79,62,0,141,524,27,1982
711,23,32,0,55,222,25,753
72,13,0,0,13,48,27,222
73,23,11,0,34,137,25,493
74,69,31,7,107,297,36,1110
741,9,2,0,11,32,34,130
75,48,14,13,75,420,18,1651
751,42,29,0,71,205,35,633
76,94,0,0,94,186,51,665
77,85,27,7,119,365,33,1379
771,0,19,0,19,43,44,129
78,54,82,0,136,344,40,1230
79,7,4,0,11,171,6,698
80,30,0,0,30,425,7,1668
81,57,0,0,57,368,15,1287
82,27,29,8,64,255,25,942
83,16,8,0,24,64,38,226
84,14,0,0,14,44,32,122
85,64,15,7,86,253,34,965
851,13,0,0,13,45,29,140
86,26,6,0,32,119,27,408
861,7,5,0,12,51,24,162
104,6,0,0,6,18,33,68
140,26,0,0,26,44,59,184